,age,cups,where_drink,brew,favorite,additions,dairy,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,total_spend,why_drink,taste,know_source,most_paid,most_willing_to_pay,value_cafe,gender,ethnicity_race
2539,55 a 64,2,"['At the office', ' At home']",['Pour over'],Cortado,['No - just black'],,Fruity,Medium,Medium,Half caff,6.0,3.0,3.0,3.0,"I didn't think I was going to like Klatch (from a past experience years ago, yes being biased)",3.0,2.0,3.0,,3.0,2.0,2.0,,3.0,2.0,2.0,"I generally like Naturals, but this one was different for me and as it cooled I liked it less, weird",Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the ritual']",Yes,Yes,6 a 8,10 a 15,Yes,Male,Asian/Pacific Islander
2540,25 a 34,2,"['At home', ' At a cafe']","['Pour over', ' French press', ' Coffee extract (e.g. Cometeer)', ' Cold brew']",Pourover,['No - just black'],,Fruity,Somewhat strong,Light,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,18 a 24,Less than 1,"['At a cafe', ' At the office', ' At home']","['Espresso', ' Other']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Bright,Somewhat strong,Medium,Full caffeine,1.0,2.0,5.0,1.0,Acidity increased when cooled. Lacks fruitiness that Coffee D has.,4.0,3.0,2.0,Reminds me of the burned beans that turned me off of coffee a decade ago.,2.0,1.0,3.0,"Clean, inoffensive.",2.0,4.0,4.0,Very fruity.,Coffee C,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,8 a 10,10 a 15,No,Male,White/Caucasian
2542,35 a 44,2,"['At home', ' On the go', ' At a cafe']","['Pour over', ' Cold brew', ' French press']",Pourover,['No - just black'],,Fruity,Somewhat light,Light,Full caffeine,6.0,1.0,3.0,4.0,Bright and punchy,3.0,2.0,2.0,Standard flavor. Nutty.,3.0,2.0,1.0,Dirt. Earthy. Dark chocolate. Smokey,4.0,2.0,4.0,Chocolatety. Dark fruit.,Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,6 a 8,Yes,Male,White/Caucasian
2543,25 a 34,3,"['At the office', ' At home']","['French press', ' Pour over', ' Other']",Pourover,['No - just black'],,Nutty,Medium,Light,Full caffeine,6.0,1.0,5.0,2.0,"Sweet, sharp, front of mouth",5.0,1.0,5.0,"roasty, nutty",3.0,2.0,2.0,"Creamier, not so clear, kind of bland",1.0,4.0,5.0,"Bright, thin texture",Coffee B,Coffee D,Coffee B,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,10 a 15,More than 20,No,Female,White/Caucasian
2544,<18,Less than 1,"['On the go', ' At a cafe', ' At home']","['Pod/capsule machine (e.g. Keurig/Nespresso)', ' Pour over']",Latte,"['Flavor syrup', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Somewhat strong,Dark,Full caffeine,4.0,4.0,5.0,1.0,"very nice aftertaste!, very hard to drink, smelled great.",3.0,2.0,3.0,more mild than the others.,4.0,1.0,4.0,"kind of boring; NGL,  But ok.   tastes the most like coffee",2.0,5.0,1.0,tastes like you put hot sauce in the coffee. ;b eww,Coffee C,Coffee D,Coffee C,Less then 20,"['It tastes good', ' I need the caffeine']",Yes,No,6 a 8,8 a 10,Yes,Female,White/Caucasian
2545,25 a 34,2,"['At home', ' At a cafe', ' At the office']",['Pour over'],Cappuccino,['No - just black'],,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,2.0,light roast espresso,4.0,2.0,4.0,"milk, chocolate",3.0,3.0,3.0,"apple tart, peach cobbler",2.0,5.0,4.0,fresh berries,Coffee B,Coffee D,Coffee D,,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,,,,,
2546,35 a 44,2,"['At home', ' At the office']",['Espresso'],Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Whole milk'],Full Bodied,Medium,Italian,Full caffeine,4.0,2.0,5.0,4.0,"fruity, citrusy, tangerine/orange?",3.0,3.0,3.0,"balanced, fruit chocolate",3.0,4.0,2.0,"fruity, acidic, tart apple",3.0,5.0,5.0,"fruity, citrusy, berries, fruity chocolate",Coffee A,Coffee D,Coffee C,Less then 20,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,No,4 a 6,4 a 6,Yes,Male,Hispanic/Latino
2547,25 a 34,1,['At home'],"['Pour over', ' Espresso']",Americano,['No - just black'],,Fruity,Medium,Light,Full caffeine,9.0,1.0,4.0,4.0,"Cherry, apple, caramelized, texture: half & half",5.0,2.0,1.0,Overwhelming smoke/roast flavors. Best texture of the four (heavy cream),4.0,2.0,2.0,"Thin texture, malt, cereal.",2.0,3.0,5.0,"Natural wash vibe. Red currants, blueberry, blackberry, very sweet, medium high mouth feel.",Coffee A,Coffee D,Coffee D,60 a 80,['It tastes good'],Yes,Yes,10 a 15,10 a 15,Yes,Male,White/Caucasian
2548,45 a 54,Less than 1,['At home'],['Pour over'],Iced coffee,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Coffee creamer'],Sweet,Weak,Light,Full caffeine,1.0,4.0,1.0,1.0,very bitter and unpleasant,3.0,1.0,1.0,,2.0,2.0,4.0,has a funk to it that reminds me of cumin,1.0,4.0,3.0,,Coffee C,Coffee D,Coffee D,Less then 20,['Other'],No,No,6 a 8,6 a 8,No,Female,Black/African American
2549,25 a 34,2,"['At home', ' At the office']","['Pod/capsule machine (e.g. Keurig/Nespresso)', ' Cold brew', ' French press', ' Coffee brewing machine (e.g. Mr. Coffee)']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Full Bodied,Medium,Medium,Full caffeine,5.0,4.0,2.0,1.0,,1.0,1.0,3.0,,2.0,2.0,4.0,,4.0,3.0,2.0,,Coffee C,Coffee D,Coffee C,40 a 60,['It tastes good'],Yes,Yes,10 a 15,10 a 15,Yes,Female,White/Caucasian
2550,25 a 34,2,['At home'],"['Pour over', ' Espresso']",Espresso,['No - just black'],,Floral,Somewhat strong,Light,Full caffeine,8.0,3.0,4.0,4.0,Stonefruit,4.0,2.0,2.0,Nutty,4.0,3.0,1.0,Bad,1.0,3.0,5.0,Sweet berry,Coffee A,Coffee D,Coffee D,20 a 40,"['I need the ritual', ' It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,8 a 10,No,Male,Asian/Pacific Islander
2551,25 a 34,3,['At home'],"['Pour over', ' French press', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Other']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Coffee creamer'],Caramalized,Medium,Medium,Full caffeine,7.0,3.0,5.0,4.0,Had a very soi-like smell and quality to it.,3.0,4.0,4.0,"Tastes good, with a very good aftertaste.",1.0,1.0,5.0,"Very light, with a chemical sort of aftertaste. Good initial taste while sipping.",2.0,3.0,2.0,Had a very tangy taste that felt unpleasant.,Coffee B,Coffee A,Coffee B,Less then 20,['It tastes good'],Yes,No,6 a 8,6 a 8,Yes,Male,White/Caucasian
2552,<18,Less than 1,['At home'],['Pod/capsule machine (e.g. Keurig/Nespresso)'],Blended drink (e.g. Frappuccino),"['Sugar or sweetener', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Sweet,Somewhat light,Medium,Full caffeine,1.0,5.0,3.0,1.0,bitter but smells good,4.0,2.0,2.0,ok,5.0,1.0,1.0,too bitter,5.0,5.0,1.0,least favorite,Coffee B,Coffee A,Coffee B,Less then 20,['Other'],No,No,Less than 2,More than 20,No,Male,White/Caucasian
2553,35 a 44,2,"['At home', ' At a cafe', ' At the office']",['French press'],Espresso,['No - just black'],,Fruity,Medium,Light,Full caffeine,7.0,1.0,4.0,5.0,red berry,2.0,1.0,3.0,Round,4.0,3.0,2.0,,1.0,5.0,5.0,"Apple, citrus",Coffee A,Coffee A,Coffee A,60 a 80,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,Yes,4 a 6,6 a 8,No,Male,White/Caucasian
2554,45 a 54,2,['At home'],"['Pour over', ' French press', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Fruity,Somewhat strong,Medium,Full caffeine,2.0,3.0,4.0,3.0,,4.0,2.0,2.0,,3.0,3.0,3.0,,4.0,4.0,4.0,,Coffee C,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,8 a 10,10 a 15,No,Male,Black/African American
2555,35 a 44,2,['At home'],"['Espresso', ' Pour over']",Latte,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Chocolatey,Medium,Medium,Full caffeine,6.0,1.0,3.0,3.0,"Caramel, apple, lemon, twix",3.0,1.0,4.0,"Chocolate, stout",4.0,1.0,2.0,"Cranberry, earth, cocoa",1.0,4.0,4.0,"Fermented, fruit, pineapple, honeydew",Coffee A,Coffee D,Coffee D,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Female,White/Caucasian
2556,25 a 34,1,"['At the office', ' At home', ' At a cafe']","['Pour over', ' French press', ' Espresso']",Mocha,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Medium,Dark,Full caffeine,6.0,3.0,5.0,2.0,"Sugar and caramel when hot, but transforms into bright fruit as it sits",2.0,2.0,5.0,Chocolate,2.0,2.0,4.0,Chocolate,3.0,4.0,2.0,Dark fruit,Coffee B,Coffee A,Coffee B,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Female,White/Caucasian
2557,25 a 34,Less than 1,['At home'],['Pour over'],Latte,['No - just black'],,Nutty,Medium,Medium,Full caffeine,4.0,3.0,3.0,2.0,Thin flat sweet,1.0,2.0,3.0,Balanced,3.0,2.0,4.0,Dry vanilla sourdough,4.0,4.0,2.0,"Diner coffee , sour fruit, coffee grinds",Coffee C,Coffee D,Coffee C,Less then 20,['I need the ritual'],Yes,Yes,6 a 8,10 a 15,Yes,Female,White/Caucasian
2558,18 a 24,2,['At home'],['Other'],Cappuccino,['No - just black'],,Full Bodied,Medium,Medium,Full caffeine,8.0,2.0,4.0,3.0,,4.0,2.0,2.0,"Tastes like waiting room coffee, like intensely reminds me of diner drip brewer coffee",3.0,3.0,3.0,,3.0,4.0,4.0,Noticeably fruitier than all other coffees by a wide margin like it is fruity in a way that is order of magnitude higher than everything else/,Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,6 a 8,Yes,Male,Asian/Pacific Islander
2559,45 a 54,1,['At home'],['Pour over'],Pourover,['No - just black'],,Bright,Medium,Light,Full caffeine,6.0,2.0,5.0,3.0,Walnut,3.0,2.0,2.0,"burnt, toasty",4.0,1.0,4.0,Orange peel,3.0,4.0,5.0,"fermented, apple",Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,4 a 6,6 a 8,No,Male,White/Caucasian
2560,25 a 34,1,['At the office'],,Regular drip coffee,['No - just black'],,Fruity,Medium,Medium,Full caffeine,7.0,2.0,3.0,3.0,caramel,1.0,2.0,2.0,cherry,2.0,4.0,4.0,citrus,1.0,2.0,3.0,wood,Coffee C,Coffee D,Coffee C,20 a 40,['I need the caffeine'],Yes,No,8 a 10,2 a 4,No,Male,Other (please specify)
2561,35 a 44,1,['At home'],['Pour over'],Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']","['Half and half', ' Whole milk']",Bold,Somewhat strong,Light,Full caffeine,8.0,4.0,4.0,4.0,"Body, tang, slight cocoa",3.0,2.0,2.0,"Flat, earth, tobacco",3.0,3.0,3.0,"Clarity, balance, wood smoke",2.0,4.0,5.0,"Body, saturation, heavier cocoa, salinity?",Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,10 a 15,Yes,Male,White/Caucasian
2562,55 a 64,2,['At home'],['Coffee brewing machine (e.g. Mr. Coffee)'],Americano,"['Milk', ' dairy alternative', ' or coffee creamer']",['Soy milk'],Full Bodied,Medium,Medium,Half caff,1.0,1.0,3.0,1.0,,4.0,1.0,5.0,Pleasantly balanced,2.0,2.0,2.0,,1.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,20 a 40,"['It tastes good', ' I need the caffeine', ' It makes me go to the bathroom']",Yes,Yes,4 a 6,2 a 4,No,Female,White/Caucasian
2563,35 a 44,1,"['At home', ' At a cafe']","['Pour over', ' French press', ' Other']",Mocha,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener', ' Flavor syrup']",['Whole milk'],Sweet,Somewhat strong,Light,Full caffeine,8.0,1.0,2.0,3.0,,2.0,2.0,4.0,,2.0,3.0,1.0,,4.0,3.0,5.0,,Coffee B,Coffee D,Coffee D,40 a 60,"['I need the caffeine', ' It tastes good', ' I need the ritual']",Yes,No,8 a 10,8 a 10,No,Male,White/Caucasian
2564,55 a 64,1,['At the office'],,Regular drip coffee,"['Milk', ' dairy alternative', ' or coffee creamer']",['Flavored coffee creamer'],Bold,Medium,Medium,Full caffeine,5.0,3.0,4.0,2.0,,3.0,2.0,3.0,,4.0,3.0,1.0,,2.0,2.0,4.0,,Coffee C,Coffee D,Coffee D,Less then 20,"['It makes me go to the bathroom', ' I need the ritual', ' I need the caffeine', ' It tastes good']",Yes,Yes,4 a 6,4 a 6,Yes,Male,White/Caucasian
2565,25 a 34,4,['At home'],"['Espresso', ' Pour over']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Oat milk'],Chocolatey,Somewhat strong,Medium,Full caffeine,8.0,2.0,4.0,2.0,"Caramel, bright, citrus, apple, summery, thin, would be at a third wave coffee shop",3.0,1.0,5.0,"Chocolate, sweet, low acid, round, full body",4.0,2.0,3.0,"cherries, berry, hard to distinguish, dry, light",1.0,4.0,4.0,"Very distinct, fermented, pineapple, tea like, mango, earthy",Coffee B,Coffee D,Coffee B,More then 100,"['It tastes good', ' I need the ritual', ' Other']",Yes,Yes,15 a 20,15 a 20,Yes,Male,Hispanic/Latino
2566,35 a 44,2,"['At home', ' At the office']",['Espresso'],Espresso,['No - just black'],,Chocolatey,Medium,Light,Full caffeine,7.0,3.0,4.0,5.0,,5.0,2.0,2.0,,4.0,3.0,4.0,,2.0,5.0,3.0,,Coffee A,Coffee A,Coffee A,60 a 80,"['I need the caffeine', ' It tastes good']",Yes,No,8 a 10,4 a 6,No,Male,White/Caucasian
2567,35 a 44,1,"['At the office', ' At home']",['French press'],Mocha,"['Milk', ' dairy alternative', ' or coffee creamer']","['Flavored coffee creamer', ' Almond milk', ' Oat milk']",Chocolatey,Medium,Dark,Full caffeine,7.0,2.0,2.0,3.0,,3.0,3.0,2.0,,2.0,3.0,2.0,,5.0,5.0,1.0,,Coffee A,Coffee A,Coffee A,Less then 20,"['I need the ritual', ' It tastes good']",Yes,Yes,6 a 8,8 a 10,No,Female,Other (please specify)
2568,35 a 44,1,"['At home', ' On the go', ' At the office']","['Pour over', ' French press', ' Instant coffee', ' Cold brew']",Pourover,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Caramalized,Somewhat strong,Medium,Decaf,7.0,3.0,2.0,5.0,Fruity pie - apple/mulled wine,3.0,4.0,1.0,"Elevated diner coffee, flat, needs sweet/dairy",4.0,3.0,3.0,"Balanced, just coffee, basic, harsh",2.0,3.0,4.0,"Dried berry, cocoa - dark chocolate, cinnamon",Coffee A,Coffee A,Coffee A,,,,,,,,,
2569,>65,3,"['At the office', ' At home']","['Coffee brewing machine (e.g. Mr. Coffee)', ' Pour over']",Pourover,['No - just black'],,Nutty,Medium,Medium,Full caffeine,5.0,2.0,1.0,4.0,,3.0,2.0,3.0,,3.0,3.0,2.0,,2.0,3.0,2.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,4 a 6,2 a 4,No,Male,White/Caucasian
2570,,,,,,,,,Somewhat strong,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,35 a 44,2,"['At the office', ' At a cafe', ' On the go', ' At home']",['Espresso'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Whole milk'],Fruity,Somewhat strong,Medium,Full caffeine,5.0,5.0,1.0,2.0,Dark and roasty.,1.0,2.0,3.0,"Smooth, fruit.",3.0,3.0,4.0,Buttery and smoky.,2.0,4.0,3.0,"Sweet, slightly sour, fruity.",Coffee C,Coffee D,Coffee C,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,More than 20,More than 20,Yes,Male,White/Caucasian
2572,25 a 34,2,"['At home', ' At the office']","['Pour over', ' Other']",Latte,['No - just black'],,Fruity,Somewhat strong,Light,,,3.0,4.0,3.0,Light and acidic,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
2573,35 a 44,1,"['At the office', ' At home', ' At a cafe']",['Espresso'],Mocha,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Half and half', ' Whole milk']",Chocolatey,Medium,Medium,Full caffeine,1.0,5.0,1.0,1.0,,2.0,3.0,4.0,,5.0,1.0,1.0,,2.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,More then 100,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,More than 20,No,Female,White/Caucasian
2574,35 a 44,3,['At home'],"['Pour over', ' Espresso']",Espresso,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Bold,Medium,Dark,Full caffeine,5.0,2.0,4.0,3.0,"nice, tart, lingering acid",4.0,3.0,4.0,"ashy, roasty, smoky",4.0,2.0,3.0,"very middle of the road, straight brown coffee flavor, not a lot of dynamics, but delicious",2.0,4.0,4.0,"an easy choice for most flavorful and interesting, not a balanced experience, but a really nice funky finish.",Coffee B,Coffee D,Coffee B,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,6 a 8,Yes,Male,White/Caucasian
2575,35 a 44,2,"['At home', ' At the office']",['Pour over'],Cortado,['No - just black'],,Fruity,Medium,Light,Full caffeine,5.0,2.0,5.0,4.0,,4.0,2.0,2.0,"Grassy, muddy",3.0,3.0,3.0,,3.0,4.0,4.0,Strong Fermented notes. Not sure if I would regularly drink this but it was super interesting.,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,6 a 8,8 a 10,Yes,Male,Other (please specify)
2576,35 a 44,Less than 1,['At home'],['Pod/capsule machine (e.g. Keurig/Nespresso)'],Cappuccino,['No - just black'],,Full Bodied,Somewhat strong,Dark,Full caffeine,1.0,3.0,2.0,4.0,,2.0,2.0,4.0,,3.0,3.0,2.0,,2.0,2.0,3.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['I need the caffeine', ' It tastes good']",Yes,Yes,6 a 8,6 a 8,No,Female,White/Caucasian
2577,35 a 44,1,"['At home', ' At a cafe']",['Pour over'],Cortado,['No - just black'],,Fruity,Medium,Light,Full caffeine,8.0,2.0,3.0,2.0,"Malic acic, bitterness",4.0,2.0,2.0,"Smooth body, low acidity, some balance for not having as much lighter qualities.
Graham Nougat Nutty I didn't get to focus much- was playing catch up",5.0,1.0,1.0,"Silky or ""soapy"" mouthfeel, cream. Narrow flavor spectrum.",1.0,4.0,5.0,Now going to have to look up v.chirosco. loved the sweet fruit. Wish I could submit this form and then another for my second cupping in a few days so I can include more granular notes.,Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' Other']",Yes,Yes,8 a 10,More than 20,Yes,Prefer not to say,
2578,25 a 34,1,"['At home', ' At the office', ' On the go']",['Other'],Cortado,['No - just black'],,Sweet,Somewhat strong,Light,Full caffeine,5.0,2.0,3.0,4.0,More acidic to me as it cooled.,3.0,1.0,2.0,Tasted smokey when still hot.  This faded as it cooled.,2.0,2.0,4.0,Some fruity flavors. Liked it less as it cooled. Flavor mellowed and I enjoy bolder flavors.,1.0,5.0,5.0,Very fruity. Stood out as different from the others.,Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,No,10 a 15,15 a 20,Yes,Male,White/Caucasian
2579,45 a 54,2,['At home'],['Pour over'],Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,7.0,1.0,4.0,3.0,"light syrup mouthfeel, pear, concord grape, sweet",4.0,3.0,2.0,"very bitter at start, but settled in when lukewarm, dates, nuts, caramel, complex toasted rollercoaster but muted",4.0,2.0,2.0,"caramel, bitter at first taste when hot, mellowed out when cooled",2.0,4.0,5.0,"Fruity with blueberry notes, smooth silky mouthfeel with a lingering sweet finish (likely anaerobic fermented flavor enhancing the burst of flavor)",Coffee A,Coffee D,Coffee D,60 a 80,['It tastes good'],Yes,Yes,8 a 10,More than 20,Yes,Male,White/Caucasian
2580,25 a 34,2,"['At the office', ' At home']",['Pour over'],Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,3.0,4.0,3.0,"Acidic, maybe a touch sour or tangy.",1.0,2.0,4.0,Sweet and balanced. Safe and simple coffee flavor.,4.0,2.0,2.0,Bitter and unpleasant. My least favorite.,1.0,4.0,5.0,Fruity! My favorite of the group.,Coffee B,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
2581,55 a 64,Less than 1,['At home'],['Pour over'],Other,['Other'],,Sweet,Weak,Light,Decaf,1.0,2.0,3.0,2.0,"it tasted acidic at first, but when cooled it tasted like coffee B",2.0,2.0,3.0,tasted like coffee A when cooled,1.0,1.0,4.0,balanced and smooth,1.0,4.0,1.0,"intense, severe, special.  I disliked this coffee immensely",Coffee C,Coffee A,Coffee C,Less then 20,['Other'],No,No,Less than 2,Less than 2,No,Prefer not to say,Asian/Pacific Islander
2582,35 a 44,3,"['At home', ' On the go', ' At the office']","['Pour over', ' French press', ' Espresso', ' Other']",Espresso,"['No - just black', ' Other']",,Fruity,Very strong,Light,Full caffeine,5.0,2.0,2.0,4.0,"Light, earthy, balanced",4.0,4.0,5.0,"A bit sharp, citrus",2.0,1.0,3.0,"Chocolate, balanced",3.0,2.0,5.0,"Sharp, juicy, berries",Coffee B,Coffee D,Coffee D,20 a 40,['It tastes good'],Yes,Yes,8 a 10,8 a 10,No,Male,White/Caucasian
2583,35 a 44,3,"['At home', ' At a cafe', ' On the go', ' At the office']","['Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)']",Regular drip coffee,['No - just black'],,Bright,Medium,Light,Full caffeine,6.0,2.0,4.0,5.0,Tart cherry,2.0,3.0,3.0,"Starch, citrus",1.0,2.0,2.0,"Flat, mild chocolate",2.0,5.0,4.0,"Raisin, ripe fruit/berries",Coffee A,Coffee A,Coffee A,40 a 60,['It tastes good'],Yes,Yes,10 a 15,15 a 20,Yes,Male,White/Caucasian
2584,35 a 44,2,"['At the office', ' At home']",['Other'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Nutty,Somewhat strong,Medium,Full caffeine,6.0,3.0,5.0,1.0,,3.0,2.0,5.0,,4.0,2.0,4.0,,3.0,4.0,2.0,,Coffee B,Coffee D,Coffee B,Less then 20,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,No,4 a 6,6 a 8,Yes,Male,White/Caucasian
2585,25 a 34,3,['At home'],['Pour over'],Pourover,['No - just black'],,Floral,Medium,Light,Full caffeine,8.0,2.0,4.0,4.0,,4.0,2.0,2.0,,3.0,3.0,3.0,,1.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,More than 20,More than 20,No,Male,White/Caucasian
2586,25 a 34,2,"['At the office', ' At home']",['Pod/capsule machine (e.g. Keurig/Nespresso)'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Whole milk', ' Half and half', ' Flavored coffee creamer', ' Almond milk']",Chocolatey,Medium,Dark,Full caffeine,4.0,3.0,4.0,2.0,Molasses,3.0,2.0,1.0,Smokey,3.0,2.0,4.0,Nutty,2.0,4.0,1.0,"Fruity, blueberry",Coffee C,Coffee A,Coffee C,40 a 60,['It tastes good'],Yes,Yes,6 a 8,6 a 8,Yes,Female,White/Caucasian
2587,25 a 34,3,"['At the office', ' At a cafe', ' At home']",['Pour over'],Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,9.0,2.0,3.0,3.0,"Apple, Blackberry",1.0,1.0,1.0,Nutty,2.0,1.0,1.0,,1.0,4.0,5.0,Strawberry,Coffee A,Coffee D,Coffee D,80 a 100,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,15 a 20,Yes,Male,Asian/Pacific Islander
2588,25 a 34,2,"['At home', ' At the office']","['Cold brew', ' Other']",Other,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Almond milk'],Chocolatey,Somewhat strong,Light,Full caffeine,6.0,1.0,3.0,4.0,,3.0,1.0,2.0,,5.0,1.0,3.0,,1.0,4.0,1.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,More than 20,Yes,Female,White/Caucasian
2589,25 a 34,2,['At home'],"['Pour over', ' Other']",Cortado,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']","['Whole milk', ' Coffee creamer']",Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,3.0,2.0,4.0,Chocolate,4.0,1.0,3.0,Pineapple,3.0,2.0,3.0,"Nutty, grass",1.0,5.0,2.0,"Flowers, dried fruit",Coffee A,Coffee A,Coffee A,,,,,,,,,
2590,25 a 34,1,['At the office'],,Regular drip coffee,['No - just black'],,Juicy,Somewhat strong,Medium,Full caffeine,4.0,3.0,3.0,3.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,2.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,,['It tastes good'],Yes,,,,,Male,White/Caucasian
2591,25 a 34,1,"['At a cafe', ' At home']","['Pour over', ' Espresso']",Cortado,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,8.0,1.0,3.0,4.0,,3.0,2.0,2.0,,3.0,2.0,3.0,,2.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
2592,25 a 34,1,['At home'],"['French press', ' Coffee brewing machine (e.g. Mr. Coffee)']",Latte,['No - just black'],,Full Bodied,Somewhat strong,Medium,Half caff,3.0,4.0,1.0,3.0,,4.0,3.0,4.0,,3.0,4.0,2.0,,2.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,Less then 20,['It tastes good'],Yes,No,6 a 8,6 a 8,Yes,Female,White/Caucasian
